title,calory_count,proteins,fats,carbohydrates
Мясо кролика,183,21.2,11.0,0.0
Мясо ластоногих,113,24.5,1.7,0.0
Мясо лося,100,21.4,1.7,0.0
Мясо сайгака,208,21.2,13.7,0.0
Мясо трепанга,34,7.3,0.6,0.0
Мясо,191,16.2,14.1,0.0
Мясо яка,111,20.0,3.5,0.0
Навага беломорская,91,19.2,1.6,0.0
Навага дальневосточная,68,15.1,0.9,0.0
Наливка,215,0.0,0.0,28.0
Налим,88,17.5,2.0,0.0
Налим в томатном соусе,88,17.5,2.0,0.0
Нарзан,0,0.0,0.0,0.0
Настойка горькая,248,0.0,0.0,6.4
Нельма,88,17.5,2.0,0.0
Нерка красная,157,20.3,8.4,0.0
Нерка натуральная,171,19.1,10.5,0.0
Ноги бараньи,87,15.0,3.0,0.0
Ноги свиные,216,18.0,16.0,0.0
Нотоскопелюс кроуэри,219,15.5,17.5,0.0
Нототения мраморная,148,15.7,9.5,0.0
Нут,328,20.1,5.0,54.2
Облепиха,82,1.2,5.4,5.7
Овес,316,10.0,6.2,55.1
Овсяная мука,369,13.0,6.8,64.9
Овсяные хлопья геркулес,352,12.3,6.2,61.8
Огурец,14,0.8,0.1,2.5
Огурец маринованный,16,2.8,0.0,1.3
Огурец соленый,13,0.8,0.1,1.7
Окорок варено-копчёный,510,15.0,50.0,0.0
Окунь горячего копчения,166,23.5,8.0,0.0
Окунь морской,103,18.2,3.3,0.0
Окунь морской холодного копчения,88,17.5,2.0,0.0
Окунь речной,82,18.5,0.9,0.0
Оленина,154,19.5,8.5,0.0
Оленина тушеная,170,19.3,10.4,0.0
Оливки,175,1.8,16.3,5.2
Оливки (мякоть),296,1.6,23.7,19.0
Омуль,88,17.5,2.0,0.0
Опята,22,2.2,1.2,0.5
Орех грецкий,656,16.2,60.8,11.1
Орех кешью,600,18.5,48.5,22.5
Орех мускатный,556,20.0,50.0,7.0
Осетр,163,16.4,10.9,0.0
Осетр в томатном соусе,164,14.4,11.8,3.3
Осетр каспийский,164,16.4,10.9,0.0
Осетр консервированный,88,17.5,2.0,0.0
Осьминог,82,14.91,1.04,2.2
Отруби пшеничные,165,16.0,3.8,16.6
Отходы рыбные пищевые,88,17.5,2.0,0.0
Охотничьи колбаски,463,25.3,40.0,0.3
Ошибень,72,16.7,0.6,0.0
Пагрус,106,19.8,3.0,0.0
Палтус белокорый,103,18.9,3.0,0.0
